0;ZARZĄDZANIE GMINĄ I JEJ REPREZENTACJA;
00;Organy kolegialne i jednoosobowe gminy;
000;Rada gminy;
252;Podatki i opłaty publiczne;B10;
253;Ubezpieczenia majątkowe;B10;między innymi ubezpieczenia od pożaru, kradzieży, nieruchomości, ruchomości, środków transportu, itp. Sprawy odszkodowań.                                       Okres przechowywania liczy się od daty wygaśnięcia umowy
254;Ochrona mienia własnej jednostki;BE10;plany ochrony obiektów, dokumentacja ochrony, przepustki, karty magnetyczne, ewidencja wydanych przepustek i kart magnetycznych, upoważnienia
255;Ochrona przeciwpożarowa;BE10;instrukcje, plany ochrony ppoż., oświadczenia o przeszkoleniu ppoż., interwencje jednostek ochrony ppoż. itp.
26;Gospodarka materiałowa;
260;Zaopatrzenie;
2600;Źródła zaopatrzenia;B5;zamówienia wysyłane do firm zewnętrznych, reklamacje, korespondencja handlowa
2601;Zaopatrzenie materiałowe;B5;
261;Obsługa materiałowa środków rzeczowych;
2610;Magazynowanie środków trwałych i nietrwałych;B10;dowody przychodu i rozchodu, kartoteki ilościowo-wartościowe
2611;Ewidencja środków trwałych i nietrwałych;B10;
2612;Ewidencja osobistego wyposażenia pracowników;B10;
2613;Eksploatacja i likwidacja środków trwałych i przedmiotów nietrwałych;B10;
2614;Konserwacja i remonty środków trwałych ;B5;
2615;Dokumentacja techniczno-eksploatacyjna środków trwałych;B5;
262;Gospodarka odpadami (surowcami wtórnymi);B5;
263;Transport, łączność, infrastruktura informatyczna i telekomunikacyjna;
2630;Zakupy środków i usług transportowych, łączności, pocztowych i kurierskich;B5;
2631;Ewidencja środków transportu;B10;
2632;Eksploatacja własnych środków transportowych;B5;karty drogowe samochodów, karty eksploatacji samochodów, przeglądy techniczne, remonty bieżące i kapitalne, sprawy garaży i myjni
2633;Użytkowanie obcych środków transportowych;B5;zlecenia, umowy o wykorzystaniu prywatnych samochodów
2634;Eksploatacja środków łączności (telefonów, telefaksów, modemów, łączy internetowych);B10;w tym dokumentacja dotycząca konserwacji i remontów środków łączności
2635;Organizacja i eksploatacja infrastruktury informatycznej i telekomunikacyjnej;BE10;
27;Zamówienia publiczne;
270;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu zamówień publicznych;A;
271;Dokumentacja zamówień publicznych;B5;
272;Umowy zawarte w wyniku postępowania w trybie zamówień publicznych;B10;""
3;FINANSE GMINY ORAZ OBSŁUGA FINANSOWO-KSIĘGOWA URZĘDÓW I JEDNOSTEK ORGANIZACYJNYCH GMINY;
30;Planowanie i realizacja budżetu;
300;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu planowania i realizacji budżetu;A;
301;Wieloletnia prognoza finansowa;A;
302;Planowanie budżetu gminy;
3020;Przygotowanie projektu budżetu gminy;BE5;między innymi materiały, projekty, korespondencja, uzgodnienia
3021;Budżet gminy i jego zmiany;A;
3022;Opiniowanie budżetu przez Regionalną Izbę Obrachunkową;A;
3023;Informacja o stanie mienia komunalnego;A;
3024;Analizowanie i weryfikowanie planów finansowych dysponentów budżetu;BE5;
3025;Propozycje organów jednostek pomocniczych gminy dotyczące rozdysponowania środków budżetowych;A;
3026;Budżety komórek organizacyjnych i ich zmiany;BE10;
303;Realizacja budżetu;
3030;Układ wykonawczy budżetu gminy;A;
3031;Przekazywanie środków finansowych dla urzędów, ich komórek i jednostek organizacyjnych gminy;B5;
3032;Rozliczanie dochodów, wydatków, subwencji i dotacji;B5;w tym z urzędami skarbowymi
3033;Ewidencjonowanie dochodów, wykorzystania środków, dotacji i subwencji;B5;
3034;Sprawozdania okresowe z wykonania budżetu;BE5;jeżeli sprawozdania cząstkowe w danym roku są zgodne co do zakresu i rodzaju danych ze sprawozdaniami o większym zakresie czasowym, to można akta spraw w zakresie sprawozdawczości cząstkowej zakwalifikować do kategorii B5
3035;Sprawozdanie roczne, bilans i analizy z wykonania budżetu;A;
3036;Rewizja budżetu i jego bilansu;A;
3037;Realizacja budżetów komórek organizacyjnych;BE10;
304;Finansowanie;
3040;Finansowanie działalności urzędów i jednostek organizacyjnych gminy;B5;
3041;Finansowanie inwestycji;BE5;
3042;Finansowanie remontów;B5;
305;Obsługa finansowa funduszy, środków dodatkowych, pożyczek, kredytów, dochodów pozabudżetowych;
3050;Obsługa finansowa funduszy i środków dodatkowych;B5;
3051;Obsługa finansowa pożyczek i kredytów;B5;
3052;Współpraca z bankami finansującymi i kredytującymi;B5;
3053;Obsługa finansowa funduszy ze środków zagranicznych, w tym Unii Europejskiej;B*);*) czas przechowywania wynika z odrębnych regulacji lub umów, w innym przypadku wynosi co najmniej 5 lat
3054;Gospodarka pozabudżetowa;B5;
306;Emitowanie obligacji;
3060;Emitowanie obligacji na terenie kraju;BE5;
3061;Emitowanie obligacji za granicą;BE5;
31;Dochody, podatki i opłaty;
310;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu dochodów, podatków, opłat, egzekucji i windykacji;A;
311;Zobowiązania podatkowe;
3110;Planowanie dochodów z podatków i opłat oraz sprawozdawczość w tym zakresie;A;
3111;Rejestry podatkowe, ewidencje i wykazy w tym zakresie;B10;
312;Podatki i ich wymiary;
3120;Podatek od nieruchomości;B10;
3121;Podatek rolny;B10;
3122;Podatek leśny;B10;
3123;Łączne zobowiązanie podatkowe rolników;B10;
3124;Podatek od środków transportowych;B10;
3125;Podatek od osób fizycznych;B10;
3126;Podatek od spadków i darowizn;B10;
3127;Łączne zobowiązanie podatkowe dla osób nie będących rolnikami;B10;
313;Opłaty;
3130;Opłata skarbowa;B10;
3131;Opłata eksploatacyjna;B10;
3132;Opłata targowa;B10;
3133;Opłata ewidencyjna CEPiK;B10;
3134;Opłata adiacencka;B10;
3135;Opłata miejscowa;B10;
3136;Opłaty za zarząd gruntami i za ich użytkowanie;B10;
3137;Opłata administracyjna;B10;
3138;Opłata od posiadania psów;B10;
314;Zaświadczenia;
3140;Zaświadczenia w sprawach podatkowych;B5;
3141;Zaświadczenia w sprawach opłat;B5;
315;Inne dochody gminy;
3150;Dochody z majątku gminy;B5;
3151;Odsetki;B5;
3152;Dochody z majątku Skarbu Państwa;B5;
3153;Dotacje;B5;
3154;Subwencje;B5;
316;Egzekucja i windykacja;
3160;Egzekucja administracyjna prowadzona przez podmiot;B5;
3161;Egzekucja administracyjna prowadzona przez inne organy egzekucyjne;B5;
3162;Windykacja należności;B5;
3163;Kontrole podatkowe przeprowadzane przez przedstawicieli gminy u podatników;BE10;
317;Opłaty i inkaso sołtysów;B5;
32;Rachunkowość, księgowość, obsługa kasowa;
320;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu rachunkowości, księgowości i obsługi kasowej;
3200;Polityka rachunkowości i plany kont;A;w tym jej projekty, uzgodnienia
3201;Wyjaśnienia, interpretacje, opinie dotyczące zagadnień z zakresu rachunkowości, księgowości i obsługi kasowej;A;
321;Obrót gotówkowy i bezgotówkowy;
3210;Obrót gotówkowy;B5;plany i raporty kasowe (niestanowiące dowodów kasowych), kopie asygnat i kwitariuszy, grzbiety książeczek czekowych i rozrachunkowych)
3211;Obrót bezgotówkowy;B5;wyciągi bankowe, przelewy
3212;Depozyty kasowe, obsługa wadium;B5;
322;Księgowość;
3220;Dowody księgowe;B5;
3221;Dokumentacja księgowa;B5;
3222;Rozliczenia;B5;rozliczenia z dostawcami, odbiorcami, pracownikami, instytucjami ubezpieczeniowymi i podatkowymi (VAT), w tym wezwania do zapłaty
3223;Ewidencja syntetyczna i analityczna;B5;
3224;Uzgadnianie sald;B5;
3225;Kontrole i rewizje kasy;B5;
3226;Zobowiązania, poręczenia;B5;
3227;Księgowość materiałowo-towarowa;B5;
3228;Obsługa księgowa w zakresie VAT;B10;
323;Rozliczenia płac i wynagrodzeń;
3230;Dokumentacja płac i potrąceń z płac;B5;
3231;Listy płac;B50;
3232;Kartoteki wynagrodzeń;B50;
3233;Wypłaty diet radnym;B10;
3234;Deklaracje podatkowe i rozliczenia podatku dochodowego;B5;
3235;Rozliczenia składek na ubezpieczenie społeczne;B50;
3236;Deklaracje na PFRON;B5;
3237;Dokumentacja wynagrodzeń z bezosobowego funduszu płac;B50;
324;Inwentaryzacja;
3240;Wycena i przecena;B10;
3241;Spisy i protokoły inwentaryzacyjne, sprawozdania z przebiegu inwentaryzacji i różnice inwentaryzacyjne;B5;
325;Dyscyplina finansowa;
3250;Interwencje Głównego Księgowego;A;
3251;Inne sprawy nadzoru finansowego;BE5;""
4;KULTURA, OCHRONA ZABYTKÓW, KULTURA FIZYCZNA, TURYSTYKA I WYPOCZYNEK ORAZ SYSTEM OŚWIATY;
40;Kultura;
400;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu kultury;A;
401;Programy rozwoju kultury i ochrony dziedzictwa kulturowego;A;
402;Rejestracja instytucji kultury i monitorowanie ich działalności;A;
403;Mecenat nad działalnością kulturalną;A;
404;Organizacja imprez kulturalnych, uroczystości, obchodów;;w tym obchodów rocznic narodowych;
4040;Organizacja imprez, uroczystości i obchodów stałych oraz periodycznych;A;
4041;Organizacja imprez, uroczystości i obchodów jednorazowych;A;
41;Zabytki;
410;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu ochrony zabytków;A;
411;Programy opieki nad zabytkami i sprawozdawczość w tym zakresie;A;
412;Ochrona zabytków;
4120;Zabytki nieruchome;A;w tym gminna ewidencja zabytków nieruchomych
4121;Zabytki ruchome;A;
4122;Zgłaszanie o odkryciach lub ujawnieniach przedmiotów zabytkowych;A;
4123;Współdziałanie z wojewódzkim konserwatorem zabytków i otrzymywanie informacji z rejestrów zabytków;BE10;
4124;Przejmowanie w zarząd obiektu zabytkowego;A;
4125;Prace konserwatorskie, restauratorskie i roboty budowlane przy zabytku;A;
4126;Znakowanie obiektów zabytkowych;A;zadanie tylko powiatu
413;Społeczni opiekunowie zabytków;BE10;zadanie tylko powiatu
414;Opieka nad pomnikami i miejscami pamięci;A;
415;Parki kulturowe;A;między innymi sprawy utworzenia parku, planu jego ochrony
416;Popularyzacja i upowszechnianie wiedzy o zabytkach;A;
42;Kultura fizyczna;
420;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu kultury fizycznej;A;
421;Programy rozwoju kultury fizycznej oraz sprawozdawczość w tym zakresie;A;
422;Prowadzenie ewidencji i rejestrów oraz dokumentacji jednostek organizacyjnych odpowiedzialnych za kulturę fizyczną;
4220;Kluby sportowe, związki sportowe, stowarzyszenia kultury fizycznej;A;zadanie tylko powiatu
4221;Uczniowskie kluby sportowe;A;
4222;Stowarzyszenia kultury fizycznej nieprowadzące działalności gospodarczej;A;zadanie tylko powiatu
4223;Obiekty sportowe i rekreacyjne;A;zadanie tylko powiatu
423;Opieka nad sportowcami oraz działalnością sportową;BE10;w tym stypendia
424;Popularyzacja walorów rekreacji ruchowej;BE10;
425;Organizacja zajęć, zawodów i imprez sportowo-rekreacyjnych;BE10;
426;Wspieranie jednostek organizacyjnych odpowiedzialnych za kulturę fizyczną;BE10;
43;Turystyka i wypoczynek;
430;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu turystyki i wypoczynku;A;
431;Programy rozwoju turystyki i wypoczynku oraz sprawozdawczość w tym zakresie;A;
432;Organizacja informacji turystycznej;BE10;
433;Wyznaczanie szlaków turystycznych i tras rowerowych;A;
434;Wspieranie działalności w zakresie turystyki i wypoczynku;BE10;
44;System oświaty;
440;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu systemu oświaty;A;
441;Programy oświatowe oraz sprawozdawczość w tym zakresie;A;
442;System oświaty publicznej;
4420;Ustalanie sieci przedszkoli publicznych;A;
4421;Ustalanie sieci szkół publicznych oraz granic ich obwodów;A;
4422;Uzyskiwanie zezwoleń na założenie szkoły lub placówki publicznej;A;
4423;Nadawanie i cofanie uprawnień szkoły publicznej dla szkół niepublicznych;A;
4424;Nadzór nad działalnością szkół i placówek oświatowych;A;w tym arkusze organizacyjne szkół
443;Szkoły niepubliczne;
4430;Prowadzenie ewidencji szkół niepublicznych;A;w tym procedura dokonywania wpisu, wykreślenia
4431;Wspieranie szkół niepublicznych;BE10;między innymi przekazywanie dotacji
444;System informacji oświatowej;A;
445;Organizacja i realizacja zadań z zakresu nauczania i wychowania;
4450;Realizacja obowiązku nauki oraz sprawy rekrutacji do szkół;BE10;
4451;Kierowanie dzieci do szkół specjalnych lub ośrodków poza granicami powiatu;B10;zadanie tylko powiatu
4452;Nauczanie indywidualne i rewalidacja indywidualna;B10;
4453;Dofinansowanie kosztów kształcenia młodocianych;B10;
4454;Pomoc psychologiczno-pedagogiczna i klasy integracyjne;BE10;
4455;Olimpiady i konkursy edukacyjne;BE10;
446;Wspieranie uczniów;
4460;Programy pomocy materialnej dla uczniów;A;
4461;Przyznawanie zasiłków szkolnych uczniom;B5;
4462;Przyznawanie stypendiów szkolnych uczniom;B5;
4463;Pomoc materialna uczniom o charakterze motywacyjnym;BE5;
4464;Dowóz uczniów do szkół;BE5;
447;Rozwój zawodowy nauczycieli;
4470;Awans zawodowy nauczycieli;BE50;
4471;Wspieranie doskonalenia zawodowego nauczycieli;BE5;
4472;Nagradzanie i wyróżnianie nauczycieli;BE10;
448;Sprawy nauczycieli;
4480;Realizacja i wykorzystanie funduszu świadczeń socjalnych nauczycieli ;BE5;
4481;Uzgodnienia ze związkami zawodowymi w sprawach dotyczących nauczycieli;A;""
5;WYBORY, REFERENDA, SPISY POWSZECHNE, SPRAWY SPOŁECZNE I OBYWATELSKIE, STAN CYWILNY, OBSŁUGA LUDNOŚCI I JEJ BEZPIECZEŃSTWO;
50;Wybory i referenda, spisy powszechne;
500;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące wyborów i referendów, spisów powszechnych;A;
501;Rejestry i spisy wyborców;
5010;Prowadzenie i obsługa rejestru wyborców;BE5;
5011;Spisy wyborców;B5*);*) chyba że przepis odrębny określa inny czas przechowywania
5012;Udostępnianie danych z rejestru i spisów wyborców;B5;
502;Obsługa organizacyjna wyborów;BE5*);*) chyba że przepis odrębny określa inny czas przechowywania
503;Obsługa organizacyjna referendów;BE5*);*) chyba że przepis odrębny określa inny czas przechowywania
504;Obsługa spisów powszechnych;
5040;Gminne biura spisowe;BE5;
5041;Rachmistrze spisowi;B5;
5042;Nadzorowanie prac spisowych;BE5;
5043;Popularyzacja spisów powszechnych;BE5;
51;Stowarzyszenia i fundacje;;zadanie tylko powiatu
510;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące zagadnień z zakresu nadzoru nad stowarzyszeniami i fundacjami;A;zadanie tylko powiatu
511;Monitorowanie działalności stowarzyszeń;A;zadanie tylko powiatu
512;Monitorowanie działalności stowarzyszeń zwykłych;A;zadanie tylko powiatu
513;Monitorowanie działalności fundacji;A;"zadanie tylko powiatu w tym dokumentacja przekazywana z sądu, czy fundacji"
514;Udostępnianie jednostkom zewnętrznym i osobom fizycznym informacji dotyczących działalności stowarzyszeń i fundacji;BE5;zadanie tylko powiatu
52;Działalność organizacji pożytku publicznego;
520;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące działalności organizacji pożytku publicznego;A;
521;Gminna Rada Działalności Pożytku Publicznego;A;
522;Wspólne zespoły doradcze i opiniodawcze gminy i organizacji pożytku publicznego;A;
523;Wymiana informacji o kierunkach działalności organizacji pożytku publicznego pomiędzy gminą i tymi organizacjami ;A;
524;Otwarte konkursy ofert w zakresie działalności pożytku publicznego;BE5;
525;Oferty z własnej inicjatywy organizacji pożytku publicznego na realizację zadań z zakresu tej działalności;BE5;
526;Realizacja zadań z zakresu działalności pożytku publicznego przez organizacje pożytku publicznego;BE10;
53;Sprawy społeczne i obywatelskie;
530;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące spraw społecznych i obywatelskich;A;
531;Sprawy społeczne;
5310;Zgromadzenia i imprezy masowe;BE5;
5311;Zbiórki publiczne;BE5;
5312;Mniejszości narodowe;A;
5313;Repatrianci;A;
5314;Obsługa rzeczy znalezionych;BE5;
5315;Przekazywanie do publicznej wiadomości informacji, zawiadomień itp. od innych organów.;B5;w tym od organów ścigania i wymiaru sprawiedliwości
532;Przyjmowanie oświadczeń i poświadczenia;
5320;Oświadczenia ostatniej woli spadkodawcy;A;
5321;Poświadczanie własnoręczności podpisu;B10;
5322;Poświadczanie pozostawania osoby przy życiu lub w określonym miejscu;BE10;
533;Wybory ławników sądowych;BE5;
534;Sprawy obywatelskie;
5340;Obywatelstwo;BE10;
5341;Ewidencja ludności;BE50;
5342;Aktualizowanie danych w ewidencji ludności;B5;
5343;Sprawy meldunkowe;B10;
5344;Obsługa dowodów osobistych;B10*);*) przy czym dokumentacja dotycząca dowodów osobistych wydanych w okresie do 1979 r. (włącznie) kwalifikowana jest do kategorii A, w okresie od 1980 do 2010 do kategorii BE50
5345;Udostępnianie danych i wydawanie zaświadczeń z ewidencji ludności lub dokumentacji wydanych dowodów osobistych;B5;
535;Stan cywilny;
5350;Statystyka urodzeń, małżeństw, zgonów;A;
5351;Rejestracja aktów urodzenia, małżeństwa, zgonu i ich zmiany;A;
5352;Unieważnienie, sprostowanie, ustalenie treści, odtworzenie i uzupełnienie aktu stanu cywilnego;B5*);*) podana kwalifikacja jest obowiązująca, jeżeli właściwa dokumentacja z tych spraw została odłożona do akt zbiorowych
5353;Wpisywanie akt stanu cywilnego sporządzonych za granicą do polskich ksiąg;B10*);*) podana kwalifikacja jest obowiązująca, jeżeli właściwa dokumentacja z tych spraw została odłożona do akt zbiorowych
5354;Zezwolenia na zawarcie małżeństwa przed upływem miesiąca;B5*);*) podana kwalifikacja jest obowiązująca, jeżeli właściwa dokumentacja z tych spraw została odłożona do akt zbiorowych
5355;Zmiany imion i nazwisk;B10*);*) podana kwalifikacja jest obowiązująca, jeżeli właściwa dokumentacja z tych spraw została odłożona do akt zbiorowych
5356;Nadawanie medalu za długoletnie pożycie małżeńskie;A;
536;Udostępnianie i wymiana danych i informacji z akt stanu cywilnego oraz ich zabezpieczanie;
5360;Zaświadczenia o zdolności do zawarcia małżeństwa za granicą;B5*);*) podana kwalifikacja jest obowiązująca, jeżeli właściwa dokumentacja z tych spraw została odłożona do akt zbiorowych
5361;Zaświadczenia o braku okoliczności wyłączających zawarcie małżeństwa;B5*);*) podana kwalifikacja jest obowiązująca, jeżeli właściwa dokumentacja z tych spraw została odłożona do akt zbiorowych
5362;Odpisy zupełne, skrócone i wielojęzyczne aktów stanu cywilnego;B5;
5363;Powiadamianie innych podmiotów i jednostek organizacyjnych o zmianach dokonywanych w aktach stanu cywilnego;B5;
5364;Udostępnianie innych informacji na podstawie akt stanu cywilnego;B5;w tym zaświadczenia o dokonanych wpisach ich braku, zaginięciu lub zniszczeniu księgi
5365;Profilaktyka i konserwacja akt stanu cywilnego;BE10;w tym uzyskiwanie zgody od wojewody na wyniesienie akt poza urząd stanu cywilnego
537;Sprawy konsularne;BE5;
54;Rejestracja pojazdów, wydawanie uprawnień do kierowania pojazdami;;zadanie tylko powiatu
540;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące rejestracji pojazdów i wydawania uprawnień do kierowania pojazdami;A;zadanie tylko powiatu
541;Rejestracja pojazdów;;zadanie tylko powiatu
5410;Dokumentacja rejestracji pojazdów;BE10;zadanie tylko powiatu
5411;Udostępnianie danych i wydawanie zaświadczeń w zakresie rejestracji pojazdów;B5;zadanie tylko powiatu
542;Stacje kontroli pojazdów, diagności;;zadanie tylko powiatu
5420;Rejestrowanie przedsiębiorców prowadzących stacje kontroli pojazdów;BE10;zadanie tylko powiatu
5421;Nadzór nad działalnością stacji kontroli pojazdów;BE10;zadanie tylko powiatu
5422;Wydawanie i cofanie uprawnień dla diagnostów;BE10;zadanie tylko powiatu
543;Wydawanie uprawnień do kierowania pojazdami;;zadanie tylko powiatu
5430;Ewidencjonowanie kierowców;BE10;zadanie tylko powiatu
5431;Ewidencjonowanie osób bez uprawnień do kierowania pojazdami;BE10;zadanie tylko powiatu
5432;Udostępnianie danych i wydawanie zaświadczeń w zakresie uprawnień do kierowania pojazdami;B5;zadanie tylko powiatu
544;Ośrodki szkolenia kierowców, instruktorzy nauki jazdy;;zadanie tylko powiatu
5440;Rejestrowanie działalności przedsiębiorców prowadzących ośrodki szkolenia kierowców;BE10;zadanie tylko powiatu
5441;Wpisywanie i skreślanie z ewidencji instruktorów;BE10;zadanie tylko powiatu
55;Bezpieczeństwo ludności, sprawy wojskowe i obronne;
550;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące bezpieczeństwa ludności, spraw wojskowych i obronnych;A;
551;Komisja bezpieczeństwa i porządku;;zadanie tylko powiatu
5510;Organizacja Komisji bezpieczeństwa i porządku;A;"zadanie tylko powiatu w tym powoływanie, odwoływanie, kierowanie do prac, regulaminy"
5511;Posiedzenia Komisji bezpieczeństwa i porządku;A;zadanie tylko powiatu
552;Bezpieczeństwo ludności;
5520;Zapewnienie bezpieczeństwa mieszkańcom gminy i osobom przebywającym czasowo na terenie gminy;BE5;
5521;Organizacja i działalność straży gminnych (miejskich);A;
5522;Współdziałanie z organizacjami zajmującymi się organizowaniem i niesieniem pomocy i ratunku;BE5;między innymi WOPR, GOPR
553;Zarządzanie kryzysowe;
5530;Prace Zespołu Zarządzania Kryzysowego;A;
5531;Monitorowanie działalności centrów zarządzania kryzysowego;A;
5532;Planowanie i prognozowanie działań w wypadku wystąpienia zagrożeń miejscowych oraz ich analizowanie ;A;
5533;Planowanie i organizowanie systemów ostrzegania ludności;A;
5534;Organizacja łączności alarmowej;BE10;
5535;Zapobieganie i reagowanie w sytuacjach nadzwyczajnych i kryzysowych;A;
554;Ochrona przeciwpożarowa i przeciwpowodziowa;
5540;Programowanie i analizowanie działalności straży pożarnej;A;
5541;Popularyzacja ochrony przeciwpożarowej ;A;
5542;Szkolenie funkcjonariuszy straży pożarnej;BE10;
5543;Wyposażenie w sprzęt służb przeciwpożarowych;B10;
5544;Planowanie zabezpieczenia gminy przed powodzią oraz analizowanie zagrożenia;A;
5545;Akcje przeciwpowodziowe;BE10;
555;Obrona cywilna;
5550;Plany obrony cywilnej ;A;
5551;Opracowywanie i uzgadnianie planów działania w zakresie obrony cywilnej;A;
5552;Organizacja formacji obronnych;A;
5553;Ocena stanu przygotowań obrony cywilnej ;A;
5554;Organizacja ewakuacji ludności;B10;
5555;Zaopatrzenie ludności i zakładów pracy w sprzęt obronny;B10;
5556;Baza służąca obronie cywilnej;B10;
5557;Popularyzacja obrony cywilnej oraz szkolenia w tym zakresie;A;
556;Sprawy obronne;
5560;Planowanie w zakresie spraw obronnych;A;
5561;Organizowanie systemu kierowania obronnością;B10;
5562;Przygotowanie publicznej i niepublicznej służby zdrowia na potrzeby obronne państwa;B10;
5563;Przygotowanie obiektów i dróg o znaczeniu obronnym na potrzeby obronne państwa;B10;
5564;Organizacja jednostek zmilitaryzowanych;B10;
5565;Nakładanie obowiązku świadczeń osobistych na rzecz obronności i ich wykonywanie;B10;
5566;Przeznaczanie nieruchomości i rzeczy ruchomych na cele świadczeń na rzecz obronności oraz wykonywanie tych świadczeń;B10;
5567;Odszkodowania za utratę lub uszkodzenie oraz za szkody wynikłe z utrzymania przedmiotów świadczeń rzeczowych;B10;
5568;Realizacja zadań na rzecz wojsk sojuszniczych wynikających z obowiązków państwa-gospodarza (HNS);B10;
557;Sprawy wojskowe oraz z zakresu kwalifikacji wojskowej;
5570;Organizacja kwalifikacji wojskowej;B10;
5571;Działalność komisji kwalifikacyjnej;B10;
5572;Orzekanie w sprawach wojskowych;B10;
5573;Reklamowanie osób od obowiązku pełnienia czynnej służby wojskowej w czasie ogłoszenia mobilizacji i czasie wojny;B10;""
6;KSZTAŁTOWANIE I OCHRONA ŚRODOWISKA, GOSPODAROWANIE ZASOBAMI PRZYRODY I ZIEMI, GEODEZJA I KARTOGRAFIA ORAZ PLANOWANIE PRZESTRZENNE, BUDOWNICTWO I GOSPODAROWANIE NIERUCHOMOŚCIAMI;
60;Kształtowanie i ochrona środowiska;
600;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące kształtowania i ochrony środowiska;A;
601;Ustalanie i opiniowanie polityki ekologicznej;A;
602;Programy, projekty, analizy z zakresu ochrony środowiska;A;
603;Monitoring w zakresie ochrony środowiska;A;
604;Informacje o środowisku i jego ochronie;BE10;
605;Kształtowanie postaw proekologicznych;BE10;
606;Wnioskowanie o ściganie za wykroczenia określone w przepisach prawa dotyczących ochrony przyrody i środowiska ;BE10;
61;Gospodarowanie zasobami przyrody;
610;Wyjaśnienia, interpretacje, opinie, akty prawne dotyczące gospodarowania zasobami przyrody;A;
611;Programy, projekty, analizy z zakresu gospodarowania zasobami przyrody;A;
612;Ochrona przyrody, gruntów rolnych i leśnych;
6120;Ustanawianie form ochrony przyrody;A;
6121;Utrzymywanie form ochrony przyrody;B5;
6122;Ochrona gatunkowa roślin i zwierząt;BE5;
6123;Zwierzęta i rośliny podlegające ograniczeniom przewozowym;BE10;w tym rejestr i wydawanie zaświadczeń
6124;Rekultywacja gruntów rolnych;BE10;
6125;Przeznaczanie gruntów rolnych i leśnych na cele nierolnicze i nieleśne;BE10;
613;Ochrona roślin, zieleni i zadrzewień;
6130;Ustanawianie i ochrona zieleni, zadrzewień, parków gminnych;A;
6131;Zezwalanie na usuwanie drzew i krzewów;B5;
6132;Nakładanie kar za zniszczenie, usuwanie, niewłaściwą pielęgnację terenów zieleni, drzew, krzewów;B5;
614;Ochrona zwierząt i ochrona weterynaryjna;
6140;Ochrona zwierząt gospodarskich i domowych;BE5;między innymi informacje o zasadach hodowli zwierząt; zapobieganie bezdomności, rejestr psów agresywnych, odbieranie zwierząt właścicielom
6141;Informacje o posiadaczach i hodowcach zwierząt podlegających ochronie;BE5;między innymi rejestr posiadaczy, wnioski o wpis do rejestru, zaświadczenia o wpisie
6142;Zwalczanie zakaźnych chorób zwierzęcych;BE5;
6143;Profilaktyka weterynaryjna i upowszechnianie higieny pozyskiwania produktów zwierzęcych;BE5;
615;Gospodarka łowiecka;
6150;Administrowanie łowiectwem;BE10;między innymi ustalanie obwodów łowieckich, dzierżawa obwodów łowieckich, odstrzał redukcyjny zwierząt, nadzór nad pogotowiami dla zwierząt dziko żyjących
6151;Plany łowieckie;BE5;między innymi opiniowanie planów łowieckich
6152;Zezwalanie na hodowlę chartów rasowych i ich mieszańców;BE5;zadanie tylko powiatu
616;Ochrona lasów i gospodarka leśna w lasach niestanowiących własności Skarbu Państwa;
6160;Powierzanie realizacji zadań z zakresu gospodarki leśnej;A;zadanie tylko powiatu
6161;Roczne limity zalesienia;A;uzgodnienia z powiatem
6162;Uproszczone plany urządzenia lasów oraz inwentaryzacja stanu lasów;A;zadanie tylko powiatu
6163;Kontrola realizacji zadań z zakresu gospodarki leśnej;BE10;zadanie tylko powiatu
6164;Realizacja zadań z zakresu gospodarki leśnej;BE10;"zadanie tylko powiatu między innymi przyznawanie dotacji"
617;Rybactwo śródlądowe;
6170;Śródlądowe obwody rybackie;A;zadanie tylko powiatu
6171;Nadzór nad śródlądową gospodarką rybacką;BE5;zadanie tylko powiatu
6172;Wydawanie kart wędkarskich i kart łowiectwa podwodnego;B5;zadanie tylko powiatu
6173;Rejestracja sprzętu pływackiego służącego do połowu ryb;B5;zadanie tylko powiatu
6174;Zezwalanie na przegradzanie sieciowymi rybackimi narzędziami połowowymi wód płynących;B5;zadanie tylko powiatu
6175;Zezwalanie na ustawianie sieciowych rybackich narzędzi połowowych na wodach śródlądowych;B5;zadanie tylko powiatu
618;Produkcja roślinna;
6180;Zezwalanie na uprawę maku i konopi;BE5;
6181;Ochrona roślin uprawnych przed chorobami i szkodnikami;BE5;
